Jujube,0.2,0,79,1.2
Kiwifruit,0.52,8.99,61,1.14
Kumquats,0.86,9.36,71,1.88
Lemons,0.3,2.5,29,1.1
Lemon juice,0.24,2.52,22,0.35
Lemon juice from concentrate,0.07,1.53,17,0.45
Lemon peel,0.3,4.17,47,1.5
Limes,0.2,1.69,30,0.7
Lime juice,0.07,1.69,25,0.42
Litchis,0.44,15.23,66,0.83
Loganberries,0.31,7.7,55,1.52
Longans,0.1,0,60,1.31
Loquats,0.2,0,47,0.43
Mammy-apple,0.5,0,51,0.5
Mangos,0.38,13.66,60,0.82
Mangosteen,0.58,0,73,0.41
Mango,1.18,66.27,319,2.45
Melons,0.19,7.86,34,0.84
Melon balls,0.25,0,33,0.84
Mulberries,0.39,8.1,43,1.44
Nectarines,0.32,7.89,44,1.06
Oheloberries,0.22,0,28,0.38
Olives,10.68,0,115,0.84
Oranges,0.12,9.35,47,0.94
Orange juice,0.2,8.4,45,0.7
Orange peel,0.2,0,97,1.5
Orange-grapefruit juice,0.1,10.18,43,0.6
Tangerines,0.31,10.58,53,0.81
Tangerine juice,0.2,9.9,43,0.5
Papayas,0.26,7.82,43,0.47
Papaya,0.55,52.2,206,0.14
Papaya nectar,0.15,13.91,57,0.17
Passion-fruit,0.7,11.2,97,2.2
Passion-fruit juice,0.05,13.4,51,0.39
Peaches,0.25,8.39,39,0.91
Peach nectar,0.02,13.32,54,0.27
Pears,0.14,9.75,57,0.36
Pear nectar,0.01,15.16,60,0.11
Persimmons,0.19,12.53,70,0.58
Pineapple,0.12,9.85,50,0.54
Pineapple juice,0.12,9.98,53,0.36
Pitanga,0.4,0,33,0.8
Plantains,0.37,15,122,1.3
Plums,0.28,9.92,46,0.7
Pomegranates,1.17,13.67,83,1.67
Prickly pears,0.51,0,41,0.73
Prunes,0.2,0,105,0.87
Prune juice,0.03,16.45,71,0.61
Pummelo,0.04,0,38,0.76
Quinces,0.1,0,57,0.4
Raisins,0.46,59.19,302,3.39
Rambutan,0.21,0,82,0.65
Raspberries,0.65,4.42,52,1.2
Rhubarb,0.2,1.1,21,0.9
Roselle,0.64,0,49,0.96
Rose-apples,0.3,0,25,0.6
Sapodilla,1.1,0,83,0.44
Sapote,0.46,20.14,124,1.45
Soursop,0.3,13.54,66,1
Strawberries,0.3,4.89,32,0.67
Sugar-apples,0.29,0,94,2.06
Tamarinds,0.6,38.8,239,2.8
Watermelon,0.15,6.2,30,0.61
Maraschino cherries,0.21,38.77,165,0.22
Feijoa,0.42,8.2,61,0.71
Durian,5.33,0,147,1.47
Prune puree,0.2,39,257,2.1
Candied fruit,0.07,80.68,322,0.34
Abiyuch,0.1,8.55,69,1.5
Rowal,2,14.1,111,2.3
Clementines,0.15,9.18,47,0.85
Guanabana nectar,0.17,13.07,59,0.11
Guava nectar,0.06,12.95,63,0.09
Mango nectar,0.06,12.45,51,0.11
Tamarind nectar,0.12,12.7,57,0.09
USDA Commodity peaches,0.15,10.61,61,0.56
USDA Commodity pears,0.19,8.27,51,0.34
Pomegranate juice,0.29,12.65,54,0.15
Juice,0.12,10.92,50,0.16
Nance,1.28,15.66,95,0.56
Naranjilla (lulo) pulp,0.22,3.74,25,0.44
Horned melon (Kiwano),1.26,0,44,1.78
Orange Pineapple Juice Blend,0.08,10.57,51,0.41
Cranberry juice blend,0.12,9.8,45,0.27
Ruby Red grapefruit juice blend (grapefruit,0.1,10.3,44,0.5
Fruit juice smoothie,0.32,9.9,48,0.5
Pork,60.42,0,585,10.06
Canadian bacon,2.62,0.9,110,20.31
HORMEL,3.59,0,106,18.43
HORMEL ALWAYS TENDER,3.07,3.33,119,18.2
HORMEL Canadian Style Bacon,4.94,1.43,122,16.88
Pork loin,9.84,0,172,20.85
Alfalfa seeds,0.69,0.2,23,3.99
Amaranth leaves,0.33,0,23,2.46
Arrowhead,0.29,0,99,5.33
Artichokes,0.15,0.99,47,3.27
Asparagus,0.12,1.88,20,2.2
Balsam-pear (bitter gourd),0.69,0,30,5.3
Bamboo shoots,0.3,3,27,2.6
Beans,0.5,0,29,4.2
Lima beans,0.86,1.48,113,6.84
Mung beans,0.18,4.13,30,3.04
Beets,0.17,6.76,43,1.61
Beet greens,0.13,0.5,22,2.2
Broadbeans,0.6,0,72,5.6
Broccoli,0.37,1.7,34,2.82
Broccoli raab,0.49,0.38,22,3.17
Brussels sprouts,0.3,2.2,43,3.38
Burdock root,0.15,2.9,72,1.53
Butterbur,0.04,0,14,0.39
Cabbage,0.1,3.2,25,1.28
Cardoon,0.1,0,17,0.7
Carrots,0.24,4.74,41,0.93
Cassava,0.28,1.7,160,1.36
Cauliflower,0.28,1.91,25,1.92
Celeriac,0.3,1.6,42,1.5
Celery,0.17,1.34,16,0.69
Celtuce,0.3,0,18,0.85
Chard,0.2,1.1,19,1.8
Chayote,0.13,1.66,19,0.82
Chicory,0.1,0,17,0.9
Chicory greens,0.3,0.7,23,1.7
Chicory roots,0.2,8.73,72,1.4
Chives,0.73,1.85,30,3.27
Chrysanthemum,0.56,0,24,3.36
Collards,0.61,0.46,32,3.02
Coriander (cilantro) leaves,0.52,0.87,23,2.13
Corn,1.35,6.26,86,3.27
Corn with red and green peppers,0.55,0,75,2.33
Cornsalad,0.4,0,21,2
Cowpeas (blackeyes),0.35,3,90,2.95
Cowpeas,0.3,5.04,44,3.3
Yardlong bean,0.4,0,47,2.8
Cress,0.7,4.4,32,2.6
Cucumber,0.11,1.67,15,0.65
Dandelion greens,0.7,0.71,45,2.7
Eggplant,0.18,3.53,25,0.98
Edamame,4.73,2.48,109,11.22
Endive,0.2,0.25,17,1.25
Escarole,0.18,0.23,19,1.15
Garlic,0.5,1,149,6.36
Ginger root,0.75,1.7,80,1.82
Gourd,0.02,0,14,0.62
Drumstick leaves,1.4,0,64,9.4
Hyacinth-beans,0.2,4.08,46,2.1
Jerusalem-artichokes,0.01,9.6,73,2
Jew's ear,0.04,0,25,0.48
Pepeao,0.44,0,298,4.82
Jute,0.25,0,34,4.65
Kale,0.93,2.26,49,4.28
Kanpyo,0.56,0,258,8.58
Mushrooms,0.49,2.38,34,2.24
Kohlrabi,0.1,2.6,27,1.7
Lambsquarters,0.8,0,43,4.2
Leeks,0.3,3.9,61,1.5
Lentils,0.55,0,106,8.96
Lettuce,0.22,0.94,13,1.35
Lotus root,0.1,0,74,2.6
Mountain yam,0.1,0.31,67,1.34
Mustard greens,0.42,1.32,27,2.86
Mustard spinach,0.3,0,22,2.2
New Zealand spinach,0.2,0.29,14,1.5
Okra,0.19,1.48,33,1.93
Onions,0.1,4.24,40,1.1
Onion rings,14.1,0,258,3.15
Parsley,0.79,0.85,36,2.97
Parsnips,0.3,4.8,75,1.2
Peas,0.2,4,42,2.8
Peas and carrots,0.27,0,38,2.17
Peas and onions,0.38,0,51,3.28
Peppers,0.1,3.12,21,0.9
Pigeonpeas,1.64,3,136,7.2
Poi,0.14,0.39,112,0.38
Pokeberry shoots,0.4,0,23,2.6
Potatoes,0.09,0.82,77,2.05
Potato puffs,8.71,0.28,178,1.93
Potato flour,0.34,3.52,357,6.9
Potato salad,8.2,0,143,2.68
Pumpkin flowers,0.07,0,15,1.03
Pumpkin leaves,0.4,0,19,3.15
Pumpkin,0.1,2.76,26,1
Pumpkin pie mix,0.13,0,104,1.09
Purslane,0.36,0,20,2.03
Radishes,0.1,1.86,16,0.68
Rutabagas,0.16,4.46,37,1.08
Salsify,0.2,0,82,3.3
Sauerkraut,0.14,1.78,19,0.91
Seaweed,0.03,0.28,26,0.54
Sesbania flower,0.04,0,27,1.28
Soybeans,6.8,0,147,12.95
Spinach,0.39,0.42,23,2.86
Squash,0.27,2.88,19,1.01
Succotash,1.02,0,99,5.03
Swamp cabbage,0.2,0,19,2.6
Swamp cabbage (skunk  cabbage),0.24,0,20,2.08
Sweet potato leaves,0.51,0,42,2.49
Sweet potato,0.05,4.18,86,1.57
Taro,0.2,0.4,112,1.5
Taro leaves,0.74,3.01,42,4.98
Taro shoots,0.09,0,11,0.92
Tomatoes,0.2,4,23,1.2
Tomato juice,0.29,2.58,17,0.85
Tomato products,0.47,12.18,82,4.32
Tomato powder,0.44,43.9,302,12.91
Tree fern,0.07,0,40,0.29
Turnips,0.1,3.8,28,0.9
Turnip greens,0.3,0.81,32,1.5
Turnip greens and turnips,0.19,0,21,2.46
Vegetable juice cocktail,0.31,2.84,22,0.93
Vegetables,0.25,0,36,1.42
Vinespinach,0.3,0,19,1.8
Waterchestnuts,0.1,4.8,97,1.4
Watercress,0.1,0.2,11,2.3
Waxgourd,0.2,0,13,0.4
Winged beans,0.87,0,49,6.95
Winged bean leaves,1.1,0,74,5.85
Winged bean tuber,0.9,0,148,11.6
Yam,0.17,0.5,118,1.53
Yambean (jicama),0.09,1.8,38,0.72
Borage,0.7,0,21,1.8
Dock,0.7,0,22,2
Eppaw,1.8,0,150,4.6
Drumstick pods,0.2,0,37,2.1
Shallots,0.5,38.16,348,12.3
Carrot juice,0.15,3.91,40,0.95
Corn pudding,5.04,6.59,131,4.42
Spinach souffle,12.95,1.85,172,7.89
Potato pancakes,14.76,1.79,268,6.08
Radish seeds,2.53,0,43,3.81
Carrot,1.49,38.82,341,8.1
Arrowroot,0.2,0,65,4.24
Chrysanthemum leaves,0.56,0,24,3.36
New zealand spinach,0.17,0.25,12,1.3
Swamp cabbage (skunk cabbage),0.24,0,20,2.08
Winged bean,0.66,0,37,5.31
Catsup,0.1,21.27,101,1.04
Pickles,0.3,1.07,12,0.5
Mushroom,0.34,1.98,22,3.09
Pimento,0.3,2.71,23,1.1
Pickle relish,0.46,0,91,1.5
Radicchio,0.25,0.6,23,1.43
Tomatillos,1.02,3.93,32,0.96
Fennel,0.2,3.93,31,1.24
Arugula,0.66,2.05,25,2.58
Hearts of palm,0.62,0,28,2.52
Nopales,0.09,1.15,16,1.32
Lemon grass (citronella),0.49,0,99,1.82
Grape leaves,2.12,6.3,93,5.6
Pepper,0.45,1.95,27,1.66
Epazote,0.52,0,32,0.33
Fireweed,2.75,0,103,4.71
Malabar spinach,0.78,0,23,2.98
Fungi,0.73,0,284,9.25
Wasabi,0.63,0,109,4.8
Yautia (tannier),0.4,0,98,1.46
Fiddlehead ferns,0.4,0,34,4.55
Seeds,5.59,0,191,7.4
Nuts,23.86,0,387,6.15
Beef,2.69,0,117,23.07
Alcoholic beverage,0,0,43,0.46
Beverages,1.04,6.25,38,0.42
Alcoholic Beverage,0,0,83,0.07
Carbonated beverage,0,13.3,51,0
Cocoa mix,15,60,400,3
Cranberry juice cocktail,0.1,11.87,54,0
Alcoholic beverages,0,0,58,0.9
Lemonade,0.04,3.5,14,0
Limeade,0,13.27,52,0
Malt beverage,0.12,8.05,37,0.21
Shake,6.52,13.63,148,3.37
Strawberry-flavor beverage mix,0.2,95.45,389,0.1
Water,0,0,0,0
Whiskey sour mix,0.1,0,84,0.1
Fish,4.84,0,131,20.35
Crustaceans,0.6,0,84,18.29
Mollusks,0.76,0,105,17.1
Salmon,7.17,0,153,20.63
Yokan,0.12,0,260,3.29
Broadbeans (fava beans),1.53,5.7,341,26.12
Carob flour,0.65,49.08,222,4.62
Chickpeas (garbanzo beans,6.04,10.7,378,20.47
Chili with beans,3.76,1.65,103,6.12
Hyacinth beans,1.69,0,344,23.9
Lupins,9.74,0,371,36.17
Mothbeans,1.61,0,343,22.94
Noodles,0.06,0,351,0.16
Mungo beans,1.64,0,341,25.21
Peanuts,49.24,4.72,567,25.8
Peanut butter,49.94,8.41,589,24.06
Peanut flour,0.55,8.22,327,52.2
Pigeon peas (red gram),1.49,0,343,21.7
Refried beans,2.01,0.54,90,4.98
Meat extender,2.97,0,311,41.71
Miso,6.01,6.2,198,12.79
Natto,11,4.89,211,19.4
Tempeh,10.8,0,192,20.29
Soy flour,20.65,7.5,434,37.81
Soy meal,2.39,0,337,49.2
Soymilk,1.75,3.99,54,3.27
Soy protein concentrate,0.46,20,328,63.63
Soy protein isolate,3.39,0,335,88.32
Soy sauce made from soy and wheat (shoyu),0.57,0.4,53,8.14
Soy sauce made from soy (tamari),0.1,1.7,60,10.51
Soy sauce made from hydrolyzed vegetable protein,0.51,1.3,60,7
Tofu,4.17,0.6,78,9.04
Okara,1.73,0,76,3.52
Yardlong beans,1.31,0,347,24.33
Hummus,8.59,0.27,177,4.86
Falafel,17.8,0,333,13.31
Veggie burgers or soyburgers,6.3,1.07,177,15.7
Peanut spread,54.89,6.35,650,24.8
Chickpea flour (besan),6.69,10.85,387,22.39
MORI-NU,2.7,1.31,55,4.8
Frijoles rojos volteados (Refried beans,6.93,0,144,5
Campbell's Brown Sugar And Bacon Flavored Baked Beans,1.92,10,123,3.85
Campbell's Pork and Beans,1.15,6.15,108,4.62
Vitasoy USA,1.7,0.2,54,8.3
Soymilk (all flavors),1.61,0.41,33,2.86
Soymilk (All flavors),1.99,2.53,45,2.94
SILK Plain,1.65,2.47,41,2.88
SILK Vanilla,1.44,2.88,41,2.47
SILK Chocolate,1.44,7.82,58,2.06
SILK Light Plain,0.82,2.47,29,2.47
SILK Light Vanilla,0.82,2.88,33,2.47
SILK Light Chocolate,0.62,7.82,49,2.06
SILK Plus Omega-3 DHA,2.06,2.47,45,2.88
SILK Plus for Bone Health,1.44,2.88,41,2.47
SILK Plus Fiber,1.44,2.88,41,2.47
SILK Unsweetened,1.65,0.41,33,2.88
SILK Very Vanilla,1.65,6.58,53,2.47
SILK Nog,1.64,9.84,74,2.46
SILK Chai,1.44,5.76,53,2.47
SILK Mocha,1.44,7.41,58,2.06
SILK Coffee,1.44,9.47,62,2.06
SILK Vanilla soy yogurt (family size),1.76,10.57,79,2.64
SILK Vanilla soy yogurt (single serving size),1.76,10.59,88,2.94
SILK Plain soy yogurt,1.76,5.29,66,2.64
SILK Strawberry soy yogurt,1.18,12.94,94,2.35
SILK Raspberry soy yogurt,1.18,12.94,88,2.35
SILK Peach soy yogurt,1.18,14.71,94,2.35
SILK Black Cherry soy yogurt,1.18,11.76,88,2.35
SILK Blueberry soy yogurt,1.18,12.35,88,2.35
SILK Key Lime soy yogurt,1.18,12.35,88,2.35
SILK Banana-Strawberry soy yogurt,1.18,10.59,88,2.35
SILK Original Creamer,6.67,0,100,0
SILK French Vanilla Creamer,6.67,20,133,0
SILK Hazelnut Creamer,6.67,20,133,0
Vitasoy USA Organic Nasoya,3.5,0.3,70,8.76
Vitasoy USA Nasoya,1.1,0,43,8.21
Vitasoy USA Organic Nasoya Sprouted,5.9,1.1,115,13.24
Vitasoy USA Azumaya,4.6,0.5,88,10.07
HOUSE FOODS Premium Soft Tofu,2.71,0.53,59,6.38
HOUSE FOODS Premium Firm Tofu,4.19,0.4,85,10.92
Peanut butter with omega-3,54.17,3.11,608,24.47
Soy sauce,0.31,5.63,90,8.19
LOMA LINDA Little Links,13.5,0.8,221,19.4
LOMA LINDA Low Fat Big Franks,4.7,0.3,154,23.1
LOMA LINDA Tender Rounds with Gravy,5.6,1,145,16.3
LOMA LINDA Swiss Stake with Gravy,6.2,0.9,138,10.2
LOMA LINDA Vege-Burger,1.2,0.8,114,22.2
LOMA LINDA Redi-Burger,2.8,1.2,146,21.9
LOMA LINDA Tender Bits,4.6,0.6,135,15.1
LOMA LINDA Linketts,11.8,0.3,209,21.3
WORTHINGTON Chili,4.5,1.3,126,10.4
WORTHINGTON Choplets,1,0.4,103,19.4
WORTHINGTON Diced Chik,0.7,0.1,80,14.7
WORTHINGTON FriChik Original,10.3,0.1,160,13.4
WORTHINGTON Low Fat Fri Chik,2.7,0,102,14.3
WORTHINGTON Low Fat Veja-Links,4.8,0.7,123,15.8
WORTHINGTON Multigrain Cutlets,1.5,0.2,117,23.29
WORTHINGTON Prime Stakes,7.2,0.3,135,10.2
WORTHINGTON Saucettes,15.2,0.2,219,15
WORTHINGTON Super Links,15.5,0.6,219,14.5
WORTHINGTON Vegetable Skallops,1.2,0.3,109,19.9
WORTHINGTON Vegetable Steaks,1.2,0.5,113,20.7
WORTHINGTON Vegetarian Burger,2.9,0.6,124,18.6
WORTHINGTON Veja-Links,8.9,0.5,155,14.6
WORTHINGTON Chic-Ketts,9.7,0.1,200,23.6
WORTHINGTON Meatless Chicken Roll,8,0.8,154,16.1
WORTHINGTON Meatless Corned Beef Roll,14.5,2.1,245,18.6
WORTHINGTON Dinner Roast,13.5,1,213,16
WORTHINGTON FriPats,9.1,1.4,209,23.7
WORTHINGTON Prosage Links,4.7,0.8,143,20.2
WORTHINGTON Prosage Roll,17.6,0.2,261,19.6
WORTHINGTON Smoked Turkey Roll,16.1,2.4,251,18.5
WORTHINGTON Stakelets,10.4,1.2,211,19.7
WORTHINGTON Stripples,26.6,0.8,346,12.4
WORTHINGTON Wham (roll),11.3,3.2,196,17.8
MORNINGSTAR FARMS Breakfast Pattie with Organic Soy,8.3,2.2,220,23.7
MORNINGSTAR FARMS Breakfast Bacon Strips,26.6,0.8,346,12.4
MORNINGSTAR FARMS Breakfast Sausage Links,6.1,1,159,19.2
MORNINGSTAR FARMS Grillers Original,9.3,1.2,213,23.9
MORNINGSTAR FARMS Grillers Prime,13.2,0.3,238,24
MORNINGSTAR FARMS Asian Veggie Patties,6.2,5,158,11.4
MORNINGSTAR FARMS Mushroom Lover's Burger,8.2,0.5,168,14.3
MORNINGSTAR FARMS Tomato & Basil Pizza Burger,8.6,2.6,161,15.5
MORNINGSTAR FARMS Buffalo Wings,11,2.8,232,14.1
MORNINGSTAR FARMS Chik'n Nuggets,10,2.2,221,14.4
MORNINGSTAR FARMS Chik Patties,7,2,197,11.8
MORNINGSTAR FARMS Italian Herb Chik'n Pattie,7,1.5,236,13.6
MORNINGSTAR FARMS Corn Dog,3.5,11,208,11.2
MORNINGSTAR FARMS Corn Dog Mini,4.7,8,219,13.2
MORNINGSTAR FARMS Sausage Style Recipe Crumbles,4.6,1.4,159,20.2
GARDENBURGER Black Bean Chipotle Burger,3.9,3.6,133,6.5
GARDENBURGER Original,4.6,0.6,155,7.2
GARDENBURGER Flame Grilled Burger,4.4,0.4,122,15.2
GARDENBURGER Savory Portabella Veggie Burger,3.3,1.2,138,5.9
GARDENBURGER Sun-Dried Tomato Basil Burger,3.6,2.6,137,5.5
GARDENBURGER Veggie Medley Burger,3.6,2,121,4.1
MORNINGSTAR FARMS Breakfast Sausage Patties Maple Flavored,7.2,5.9,222,26.3
MORNINGSTAR FARMS Chik'n Grill Veggie Patties,4.8,0.2,118,12.8
MORNINGSTAR FARMS BBQ Riblets,2.3,17.2,150,11.4
WORTHINGTON Leanies,16.5,1.2,251,19.5
MORNINGSTAR FARMS California Turk'y Burger,7.7,1.8,155,14.9
MORNINGSTAR FARMS Hot and Spicy Veggie Sausage Patties,7.4,0.2,185,21.8
MORNINGSTAR FARMS Lasagna with Veggie Sausage,2.3,1.7,96,7.1
MORNINGSTAR FARMS Grillers Quarter Pound Veggie Burger,10.5,0.6,219,22.8
MORNINGSTAR FARMS Sesame Chik'n Entree,3.5,6,116,5.3
MORNINGSTAR FARMS Grillers Chik'n Veggie Patties,4.8,0.2,118,12.8
MORNINGSTAR FARMS Meal Starters Veggie Meatballs,5.8,1.1,158,17.7
MORNINGSTAR FARMS Breakfast Biscuit Sausage,8.1,4,257,9.3
MORNINGSTAR FARMS Mediterranean Chickpea,6.5,1.1,200,15.5
MORNINGSTAR FARMS Buffalo Chik Patties,12.8,3,255,12.1
MORNINGSTAR FARMS Chik Patties Original,9.1,2,197,11.2
